kind,legacy_id,canonical_id,status
car,Stock Car Brasil 99 GrC-Chevrolet Omega,Stock_Omega-133-stockcarbrasil99grc-Touring-3-Stock Car Brasil 99 GrC,canonical
car,Copa Truck-IVECO Stralis,Copa_Truck_Iveco-37-copatruck-Touring-4-Copa Truck,canonical
car,Copa Truck-MAN TGX,Copa_Truck_MAN-38-copatruck-Touring-4-Copa Truck,canonical
car,Copa Truck-Mercedes-Benz Actros-2651,Copa_Truck_Mercedes-Benz-39-copatruck-Touring-4-Copa Truck,canonical
car,Copa Truck-Volkswagen Constellation,Copa_Truck_VW-40-copatruck-Touring-4-Copa Truck,canonical
car,Group A-BMW M3 Sport Evo GrA,,legacy-fallback
car,Group A-Mercedes-Benz 190E EVO 2 DTM,,legacy-fallback
car,Hot Cars-Volkswagen Fusca HC1,,legacy-fallback
car,Hot Cars-Volkswagen Fusca HC2,,legacy-fallback
car,Hot Cars-Volkswagen Gol HC,,legacy-fallback
car,Hot Cars-Volkswagen Passat HC,,legacy-fallback
car,JCW-MINI Cooper JCW,Mini_Cooper-118-jcw-Touring-6-JCW,canonical
car,TSI Cup-Volkswagen Virtus,VW_Virtus-150-tsicup-Touring-6-TSI Cup,canonical
car,Formula Retro G3-Formula Retro Gen3 DFY,Formula_Retro_G3-162-formularetrog3-Vintage-1-Formula Retro G3,canonical
car,Formula Retro G3-Formula Retro Gen3 Turbo,Formula_Retro_G3_TE-167-formularetrog3-Vintage-1-Formula Retro G3,canonical
car,Formula Retro G3-McLaren MP4-1C,,legacy-fallback
car,Formula Retro G1-Brabham BT44,Brabham_BT44-24-formularetrog1-Vintage-2-Formula Retro G1,canonical
car,Formula Retro G1-Formula Retro V12,Formula_Retro_V12-128-formularetrog1-Vintage-2-Formula Retro G1,canonical
car,Formula Retro G1-Formula Retro V8,Formula_Retro_V8-126-formularetrog1-Vintage-2-Formula Retro G1,canonical
car,Formula Retro G1-Lotus Type 72E,,legacy-fallback
car,Formula Retro G1-McLaren M23,McLaren_M23-112-formularetrog1-Vintage-2-Formula Retro G1,canonical
car,Formula Retro G2-Brabham BT46B,,legacy-fallback
car,Formula Retro G2-Formula Retro Gen2,Formula_Retro_G2-139-formularetrog2-Vintage-2-Formula Retro G2,canonical
car,Formula Retro G2-Lotus 79,Lotus_79-137-formularetrog2-Vintage-2-Formula Retro G2,canonical
car,Formula Vintage G1-Formula Vintage G1 M1 (Lotus 49),,legacy-fallback
car,Formula Vintage G1-Formula Vintage G1 M2 (AAR Eagle Mk1),,legacy-fallback
car,Formula Vintage G2-Brabham BT26A,Repco_Brabham_BT26-115-formulavintageg2-Vintage-3-Formula Vintage G2,canonical
car,Formula Vintage G2-Formula Vintage G2 M1,,legacy-fallback
car,Formula Vintage G2-Formula Vintage G2 M2,,legacy-fallback
car,Formula Vintage G2-Lotus Type 49C,,legacy-fallback
